100 100
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99
1 1.41421 2.23607 3.16228 4.12311 5.09902 6.08276 7.07107 8.06226 9.05539 10.0499 11.0454 12.0416 13.0384 14.0357 15.0333 16.0312 17.0294 18.0278 19.0263 20.025 21.0238 22.0227 23.0217 24.0208 25.02 26.0192 27.0185 28.0179 29.0172 30.0167 31.0161 32.0156 33.0151 34.0147 35.0143 36.0139 37.0135 38.0132 39.0128 40.0125 41.0122 42.0119 43.0116 44.0114 45.0111 46.0109 47.0106 48.0104 49.0102 50.01 51.0098 52.0096 53.0094 54.0093 55.0091 56.0089 57.0088 58.0086 59.0085 60.0083 61.0082 62.0081 63.0079 64.0078 65.0077 66.0076 67.0075 68.0074 69.0072 70.0071 71.007 72.0069 73.0068 74.0068 75.0067 76.0066 77.0065 78.0064 79.0063 80.0062 81.0062 82.0061 83.006 84.006 85.0059 86.0058 87.0057 88.0057 89.0056 90.0056 91.0055 92.0054 93.0054 94.0053 95.0053 96.0052 97.0052 98.0051 99.0051
2 2.23607 2.82843 3.60555 4.47214 5.38516 6.32456 7.28011 8.24621 9.21954 10.198 11.1803 12.1655 13.1529 14.1421 15.1327 16.1245 17.1172 18.1108 19.105 20.0998 21.095 22.0907 23.0868 24.0832 25.0799 26.0768 27.074 28.0713 29.0689 30.0666 31.0644 32.0624 33.0606 34.0588 35.0571 36.0555 37.054 38.0526 39.0512 40.05 41.0488 42.0476 43.0465 44.0454 45.0444 46.0435 47.0425 48.0416 49.0408 50.04 51.0392 52.0384 53.0377 54.037 55.0364 56.0357 57.0351 58.0345 59.0339 60.0333 61.0328 62.0322 63.0317 64.0312 65.0308 66.0303 67.0298 68.0294 69.029 70.0286 71.0282 72.0278 73.0274 74.027 75.0267 76.0263 77.026 78.0256 79.0253 80.025 81.0247 82.0244 83.0241 84.0238 85.0235 86.0233 87.023 88.0227 89.0225 90.0222 91.022 92.0217 93.0215 94.0213 95.0211 96.0208 97.0206 98.0204 99.0202
3 3.16228 3.60555 4.24264 5 5.83095 6.7082 7.61577 8.544 9.48683 10.4403 11.4018 12.3693 13.3417 14.3178 15.2971 16.2788 17.2627 18.2483 19.2354 20.2237 21.2132 22.2036 23.1948 24.1868 25.1794 26.1725 27.1662 28.1603 29.1548 30.1496 31.1448 32.1403 33.1361 34.1321 35.1283 36.1248 37.1214 38.1182 39.1152 40.1123 41.1096 42.107 43.1045 44.1022 45.0999 46.0977 47.0956 48.0937 49.0918 50.0899 51.0882 52.0865 53.0848 54.0833 55.0818 56.0803 57.0789 58.0775 59.0762 60.075 61.0737 62.0725 63.0714 64.0703 65.0692 66.0681 67.0671 68.0661 69.0652 70.0643 71.0634 72.0625 73.0616 74.0608 75.06 76.0592 77.0584 78.0577 79.0569 80.0562 81.0555 82.0549 83.0542 84.0536 85.0529 86.0523 87.0517 88.0511 89.0505 90.05 91.0494 92.0489 93.0484 94.0479 95.0474 96.0469 97.0464 98.0459 99.0454
4 4.12311 4.47214 5 5.65685 6.40312 7.2111 8.06226 8.94427 9.84886 10.7703 11.7047 12.6491 13.6015 14.5602 15.5242 16.4924 17.4642 18.4391 19.4165 20.3961 21.3776 22.3607 23.3452 24.3311 25.318 26.3059 27.2947 28.2843 29.2746 30.2655 31.257 32.249 33.2415 34.2345 35.2278 36.2215 37.2156 38.2099 39.2046 40.1995 41.1947 42.19 43.1856 44.1814 45.1774 46.1736 47.1699 48.1664 49.163 50.1597 51.1566 52.1536 53.1507 54.1479 55.1453 56.1427 57.1402 58.1378 59.1354 60.1332 61.131 62.1289 63.1269 64.1249 65.123 66.1211 67.1193 68.1175 69.1158 70.1142 71.1126 72.111 73.1095 74.108 75.1066 76.1052 77.1038 78.1025 79.1012 80.0999 81.0987 82.0975 83.0963 84.0952 85.0941 86.093 87.0919 88.0909 89.0898 90.0888 91.0879 92.0869 93.086 94.0851 95.0842 96.0833 97.0824 98.0816 99.0808
5 5.09902 5.38516 5.83095 6.40312 7.07107 7.81025 8.60233 9.43398 10.2956 11.1803 12.083 13 13.9284 14.8661 15.8114 16.7631 17.72 18.6815 19.6469 20.6155 21.587 22.561 23.5372 24.5153 25.4951 26.4764 27.4591 28.4429 29.4279 30.4138 31.4006 32.3883 33.3766 34.3657 35.3553 36.3456 37.3363 38.3275 39.3192 40.3113 41.3038 42.2966 43.2897 44.2832 45.2769 46.2709 47.2652 48.2597 49.2544 50.2494 51.2445 52.2398 53.2353 54.231 55.2268 56.2228 57.2189 58.2151 59.2115 60.208 61.2046 62.2013 63.1981 64.195 65.192 66.1891 67.1863 68.1836 69.1809 70.1783 71.1758 72.1734 73.171 74.1687 75.1665 76.1643 77.1622 78.1601 79.1581 80.1561 81.1542 82.1523 83.1505 84.1487 85.1469 86.1452 87.1436 88.1419 89.1403 90.1388 91.1373 92.1358 93.1343 94.1329 95.1315 96.1301 97.1288 98.1275 99.1262
6 6.08276 6.32456 6.7082 7.2111 7.81025 8.48528 9.21954 10 10.8167 11.6619 12.53 13.4164 14.3178 15.2315 16.1555 17.088 18.0278 18.9737 19.9249 20.8806 21.8403 22.8035 23.7697 24.7386 25.7099 26.6833 27.6586 28.6356 29.6142 30.5941 31.5753 32.5576 33.541 34.5254 35.5106 36.4966 37.4833 38.4708 39.4588 40.4475 41.4367 42.4264 43.4166 44.4072 45.3982 46.3897 47.3814 48.3735 49.366 50.3587 51.3517 52.345 53.3385 54.3323 55.3263 56.3205 57.3149 58.3095 59.3043 60.2993 61.2944 62.2896 63.2851 64.2806 65.2763 66.2722 67.2681 68.2642 69.2604 70.2567 71.2531 72.2496 73.2462 74.2428 75.2396 76.2365 77.2334 78.2304 79.2275 80.2247 81.2219 82.2192 83.2166 84.214 85.2115 86.209 87.2067 88.2043 89.202 90.1998 91.1976 92.1954 93.1933 94.1913 95.1893 96.1873 97.1854 98.1835 99.1817
7 7.07107 7.28011 7.61577 8.06226 8.60233 9.21954 9.89949 10.6301 11.4018 12.2066 13.0384 13.8924 14.7648 15.6525 16.5529 17.4642 18.3848 19.3132 20.2485 21.1896 22.1359 23.0868 24.0416 25 25.9615 26.9258 27.8927 28.8617 29.8329 30.8058 31.7805 32.7567 33.7343 34.7131 35.6931 36.6742 37.6563 38.6394 39.6232 40.6079 41.5933 42.5793 43.566 44.5533 45.5412 46.5296 47.5184 48.5077 49.4975 50.4876 51.4782 52.469 53.4603 54.4518 55.4437 56.4358 57.4282 58.4209 59.4138 60.407 61.4003 62.3939 63.3877 64.3817 65.3758 66.3702 67.3647 68.3593 69.3542 70.3491 71.3442 72.3395 73.3348 74.3303 75.326 76.3217 77.3175 78.3135 79.3095 80.3057 81.3019 82.2982 83.2947 84.2912 85.2877 86.2844 87.2812 88.278 89.2749 90.2718 91.2688 92.2659 93.2631 94.2603 95.2575 96.2549 97.2522 98.2497 99.2472
8 8.06226 8.24621 8.544 8.94427 9.43398 10 10.6301 11.3137 12.0416 12.8062 13.6015 14.4222 15.2643 16.1245 17 17.8885 18.7883 19.6977 20.6155 21.5407 22.4722 23.4094 24.3516 25.2982 26.2488 27.2029 28.1603 29.1204 30.0832 31.0483 32.0156 32.9848 33.9559 34.9285 35.9026 36.8782 37.855 38.833 39.8121 40.7922 41.7732 42.7551 43.7379 44.7214 45.7056 46.6905 47.676 48.6621 49.6488 50.636 51.6236 52.6118 53.6004 54.5894 55.5788 56.5685 57.5587 58.5491 59.5399 60.531 61.5224 62.514 63.5059 64.4981 65.4905 66.4831 67.4759 68.469 69.4622 70.4557 71.4493 72.4431 73.437 74.4312 75.4255 76.4199 77.4145 78.4092 79.404 80.399 81.3941 82.3893 83.3847 84.3801 85.3756 86.3713 87.367 88.3629 89.3588 90.3549 91.351 92.3472 93.3435 94.3398 95.3362 96.3328 97.3293 98.326 99.3227
9 9.05539 9.21954 9.48683 9.84886 10.2956 10.8167 11.4018 12.0416 12.7279 13.4536 14.2127 15 15.8114 16.6433 17.4929 18.3576 19.2354 20.1246 21.0238 21.9317 22.8473 23.7697 24.6982 25.632 26.5707 27.5136 28.4605 29.4109 30.3645 31.3209 32.28 33.2415 34.2053 35.171 36.1386 37.108 38.0789 39.0512 40.025 41 41.9762 42.9535 43.9318 44.911 45.8912 46.8722 47.8539 48.8365 49.8197 50.8035 51.788 52.7731 53.7587 54.7449 55.7315 56.7186 57.7062 58.6941 59.6825 60.6712 61.6604 62.6498 63.6396 64.6297 65.6201 66.6108 67.6018 68.593 69.5845 70.5762 71.5681 72.5603 73.5527 74.5453 75.5381 76.531 77.5242 78.5175 79.511 80.5047 81.4985 82.4924 83.4865 84.4808 85.4751 86.4696 87.4643 88.459 89.4539 90.4489 91.444 92.4392 93.4345 94.4299 95.4254 96.421 97.4166 98.4124 99.4082
10 10.0499 10.198 10.4403 10.7703 11.1803 11.6619 12.2066 12.8062 13.4536 14.1421 14.8661 15.6205 16.4012 17.2047 18.0278 18.868 19.7231 20.5913 21.4709 22.3607 23.2594 24.1661 25.0799 26 26.9258 27.8568 28.7924 29.7321 30.6757 31.6228 32.573 33.5261 34.4819 35.4401 36.4005 37.3631 38.3275 39.2938 40.2616 41.2311 42.2019 43.1741 44.1475 45.1221 46.0977 47.0744 48.0521 49.0306 50.01 50.9902 51.9711 52.9528 53.9351 54.9181 55.9017 56.8859 57.8705 58.8558 59.8415 60.8276 61.8142 62.8013 63.7887 64.7765 65.7647 66.7533 67.7422 68.7314 69.7209 70.7107 71.7008 72.6911 73.6817 74.6726 75.6637 76.6551 77.6466 78.6384 79.6304 80.6226 81.6149 82.6075 83.6002 84.5931 85.5862 86.5794 87.5728 88.5664 89.56 90.5539 91.5478 92.5419 93.5361 94.5304 95.5249 96.5194 97.5141 98.5089 99.5038
11 11.0454 11.1803 11.4018 11.7047 12.083 12.53 13.0384 13.6015 14.2127 14.8661 15.5563 16.2788 17.0294 17.8045 18.6011 19.4165 20.2485 21.095 21.9545 22.8254 23.7065 24.5967 25.4951 26.4008 27.313 28.2312 29.1548 30.0832 31.0161 31.9531 32.8938 33.8378 34.7851 35.7351 36.6879 37.6431 38.6005 39.5601 40.5216 41.4849 42.45 43.4166 44.3847 45.3542 46.3249 47.2969 48.2701 49.2443 50.2195 51.1957 52.1728 53.1507 54.1295 55.109 56.0892 57.0701 58.0517 59.0339 60.0167 61 61.9839 62.9682 63.9531 64.9384 65.9242 66.9104 67.897 68.884 69.8713 70.859 71.8471 72.8354 73.8241 74.8131 75.8024 76.7919 77.7817 78.7718 79.7621 80.7527 81.7435 82.7345 83.7257 84.7172 85.7088 86.7006 87.6926 88.6848 89.6772 90.6697 91.6624 92.6553 93.6483 94.6414 95.6347 96.6282 97.6217 98.6154 99.6092
12 12.0416 12.1655 12.3693 12.6491 13 13.4164 13.8924 14.4222 15 15.6205 16.2788 16.9706 17.6918 18.4391 19.2094 20 20.8087 21.6333 22.4722 23.3238 24.1868 25.0599 25.9422 26.8328 27.7308 28.6356 29.5466 30.4631 31.3847 32.311 33.2415 34.176 35.1141 36.0555 37 37.9473 38.8973 39.8497 40.8044 41.7612 42.72 43.6807 44.643 45.607 46.5725 47.5395 48.5077 49.4773 50.448 51.4198 52.3927 53.3667 54.3415 55.3173 56.2939 57.2713 58.2495 59.2284 60.208 61.1882 62.1691 63.1506 64.1327 65.1153 66.0984 67.082 68.0661 69.0507 70.0357 71.0211 72.0069 72.9932 73.9797 74.9667 75.9539 76.9415 77.9295 78.9177 79.9062 80.895 81.8841 82.8734 83.863 84.8528 85.8429 86.8332 87.8237 88.8144 89.8053 90.7965 91.7878 92.7793 93.771 94.7629 95.7549 96.7471 97.7394 98.732 99.7246
